                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63441,                 1.1416,                0.77222,                 1.2025,                0.57196,                0.86038,                0.69598,                0.31549,                0.56962,                0.85906,                0.67624,                0.31078,                 1.4559,                 1.7019,                 5.0597,                 2.0317,             0.00066452,             0.00066452,             0.00066452
                      2,                0.66932,                  1.055,                0.62884,                 1.2053,                0.89232,                0.91321,                0.89312,                0.80189,                0.89232,                0.91321,                0.89306,                0.69655,                0.48354,                 2.0652,                  0.573,                0.95626,              0.0013048,              0.0013048,              0.0013048
                      3,                0.65451,                 1.0426,                0.57709,                 1.1978,                0.94495,                 0.9283,                0.93068,                0.88035,                0.94643,                0.93962,                0.91885,                 0.7354,                0.41139,                 1.3815,                0.47956,                0.78569,              0.0019187,              0.0019187,              0.0019187
                      4,                0.60984,                0.95246,                0.56184,                 1.1592,                0.97069,                0.90189,                0.93937,                 0.8706,                0.97452,                0.89811,                 0.9321,                0.88102,                0.37868,                0.63891,                0.42111,                0.73004,              0.0018812,              0.0018812,              0.0018812
                      5,                0.54698,                0.84083,                0.47981,                 1.1213,                0.95241,                 0.9434,                 0.9283,                0.88316,                 0.9485,                0.93962,                0.91647,                0.84883,                0.34285,                0.69122,                0.38863,                0.68357,              0.0018812,              0.0018812,              0.0018812
                      6,                0.53064,                0.85808,                0.45674,                 1.1105,                0.96968,                 0.9283,                0.92797,                0.90034,                0.96968,                 0.9283,                0.92797,                0.86959,                0.30282,                0.71008,                0.55515,                0.66255,              0.0018416,              0.0018416,              0.0018416
                      7,                0.51036,                0.81422,                0.44684,                 1.0888,                0.97228,                0.93962,                0.94531,                0.89034,                0.97578,                0.93208,                0.94488,                0.91428,                0.33089,                0.49132,                0.36466,                0.68769,               0.001802,               0.001802,               0.001802
                      8,                0.48815,                0.73313,                0.40834,                 1.0818,                0.96876,                0.93962,                0.94273,                0.89635,                0.96487,                0.93585,                0.93904,                0.89416,                0.28896,                0.51244,                0.38229,                0.62972,              0.0017624,              0.0017624,              0.0017624
                      9,                0.48828,                0.76791,                0.41126,                 1.0792,                0.98365,                0.93962,                0.94275,                 0.9049,                 0.9797,                0.93585,                0.93487,                0.90297,                0.33444,                0.49394,                0.34354,                0.70726,              0.0017228,              0.0017228,              0.0017228
                     10,                0.48157,                0.70029,                0.40706,                  1.069,                0.96873,                0.93535,                0.93648,                0.89659,                0.96873,                0.93535,                0.93648,                 0.8925,                0.30933,                0.51816,                0.37898,                 0.6542,              0.0016832,              0.0016832,              0.0016832
