                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6462,                 2.4984,                 1.6913,                0.13032,                0.23364,                0.10912,                0.03468,                 2.3168,                 18.168,                 2.5551,             0.00047452,             0.00047452,             0.00047452
                      2,                 1.7063,                 2.0541,                 1.7415,                0.32766,                0.19741,                0.25772,                0.08699,                 2.4017,                 5.5077,                 2.2352,             0.00093203,             0.00093203,             0.00093203
                      3,                 1.6883,                 2.0021,                 1.7142,                0.41044,                0.56606,                0.53216,                0.15873,                 2.3996,                 1.7357,                 2.2911,              0.0013707,              0.0013707,              0.0013707
                      4,                 1.6387,                 1.8049,                 1.6757,                0.49509,                0.63423,                 0.5807,                 0.1866,                 2.2952,                 1.5824,                 2.0105,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.5924,                 1.6634,                 1.6467,                0.40155,                0.66295,                0.51848,                0.13386,                 2.5659,                 1.5362,                 2.2324,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.5722,                 1.5651,                 1.6493,                0.47858,                0.70431,                0.63551,                0.24002,                 2.2169,                 1.3623,                 1.8708,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.5202,                 1.5428,                 1.6075,                0.53387,                0.63732,                0.59499,                0.21526,                 2.1753,                 1.3728,                 1.8418,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.5048,                 1.4939,                 1.5844,                 0.4242,                   0.74,                0.60643,                0.27162,                 1.9054,                  1.325,                 1.6421,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.5088,                 1.4055,                 1.5859,                0.79846,                0.67585,                0.77816,                0.32713,                 2.0246,                 1.1759,                 1.7435,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.4678,                 1.3568,                 1.5724,                0.88176,                0.70027,                0.84735,                0.34734,                 2.0072,                  1.125,                 1.7229,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.4645,                 1.3376,                 1.5648,                0.84342,                  0.616,                0.75647,                0.26419,                  2.247,                 1.1215,                 2.0378,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.4551,                 1.2923,                 1.5697,                0.88069,                0.69436,                0.80433,                0.34651,                 1.9812,                 1.0302,                 1.7397,              0.0011461,              0.0011461,              0.0011461
                     13,                  1.409,                 1.2221,                 1.5339,                0.93711,                0.73909,                0.88095,                0.37286,                 2.0731,                 1.0033,                 1.8419,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.4274,                 1.2153,                 1.5458,                0.84756,                0.77703,                0.87742,                0.40588,                 1.9155,                 1.0016,                 1.7715,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.3838,                 1.1761,                 1.5139,                0.88457,                0.75629,                0.87873,                0.34767,                 2.1079,                0.98829,                 1.9065,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.3784,                 1.1381,                 1.5146,                 0.9234,                0.72893,                0.90719,                0.43141,                 1.8777,                0.91186,                 1.7165,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.3712,                  1.155,                 1.5372,                0.83948,                0.82266,                0.90587,                0.41807,                 1.8697,                 0.9327,                 1.8145,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.3497,                 1.1376,                 1.5031,                0.90291,                0.81595,                0.91523,                0.42372,                 1.9205,                0.88252,                 1.8123,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.3912,                 1.0977,                 1.5182,                0.91864,                0.79247,                0.90783,                0.42648,                 1.9244,                 0.8884,                 1.7541,               0.000948,               0.000948,               0.000948
                     20,                 1.3511,                 1.0955,                 1.5104,                0.90942,                0.84622,                0.93808,                0.40488,                 2.0372,                0.84614,                 1.8362,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.3388,                   1.07,                 1.4854,                0.91789,                0.80198,                0.92794,                0.43385,                 1.8809,                 0.8379,                 1.7067,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.3298,                 1.0532,                 1.4898,                0.93142,                0.88503,                0.95478,                0.40999,                  1.978,                0.82718,                 1.8565,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.3237,                  1.022,                 1.4838,                0.94129,                0.86374,                0.95084,                0.41507,                 1.9397,                0.83472,                 1.8487,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.2977,                 1.0081,                 1.4993,                0.93985,                0.86388,                0.95237,                 0.4582,                 1.8858,                0.79365,                 1.7674,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.3146,                0.97056,                 1.4849,                 0.9129,                0.86036,                0.94955,                0.47241,                 1.8096,                0.78184,                 1.6883,             0.00077823,             0.00077823,             0.00077823
