                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66823,                 3.2845,                 1.2284,                0.30646,                0.31757,                0.23687,                0.17904,                0.97282,                  4.672,                 1.8009,             8.0376e-05,             8.0376e-05,             8.0376e-05
                      2,                0.54019,                 2.2328,                 1.1009,                0.81193,                 0.4227,                 0.6376,                0.55625,                 0.6542,                 2.3213,                  1.444,             0.00015851,             0.00015851,             0.00015851
                      3,                0.52841,                 1.8927,                 1.0782,                0.77487,                0.42707,                0.61685,                0.41069,                 1.2801,                 3.0483,                 2.0404,             0.00023342,             0.00023342,             0.00023342
                      4,                0.50931,                 1.7191,                 1.0566,                0.78631,                0.49887,                0.69122,                0.55601,                0.92079,                 2.0481,                 1.9164,             0.00022951,             0.00022951,             0.00022951
                      5,                0.52297,                 1.5665,                 1.0571,                0.63283,                0.66139,                0.76818,                0.51358,                 1.3262,                 2.1115,                 2.2271,             0.00022951,             0.00022951,             0.00022951
                      6,                0.50418,                 1.4468,                 1.0441,                0.65668,                0.82036,                0.87589,                 0.6868,                0.86574,                 1.8869,                 1.8365,             0.00022468,             0.00022468,             0.00022468
                      7,                0.46472,                 1.3579,                   1.02,                0.75926,                 0.6858,                0.84173,                0.61717,                0.95988,                 2.0676,                 1.9473,             0.00021984,             0.00021984,             0.00021984
                      8,                0.46182,                 1.3074,                 1.0126,                0.89569,                0.58951,                0.78784,                0.62482,                0.91962,                 1.6122,                 1.8875,             0.00021501,             0.00021501,             0.00021501
                      9,                0.46377,                 1.2772,                 1.0218,                0.70553,                0.66198,                0.79874,                0.66114,                0.85911,                 1.5099,                 1.7113,             0.00021018,             0.00021018,             0.00021018
                     10,                 0.4249,                 1.1954,                      1,                0.74278,                0.72375,                 0.8409,                0.70674,                0.81592,                 1.2625,                 1.7259,             0.00020535,             0.00020535,             0.00020535
                     11,                0.42771,                 1.1257,                 1.0061,                0.94694,                0.55023,                0.84143,                0.66331,                0.88962,                 1.5108,                 1.7503,             0.00020052,             0.00020052,             0.00020052
                     12,                0.42106,                  1.114,                 1.0025,                0.76413,                0.70769,                0.83823,                0.65358,                0.87508,                 1.3835,                 1.7776,             0.00019569,             0.00019569,             0.00019569
                     13,                0.41394,                 1.0444,                0.98949,                0.84501,                0.68538,                0.81054,                0.57473,                 1.0777,                 1.5428,                 1.8515,             0.00019086,             0.00019086,             0.00019086
                     14,                 0.3945,                 1.0353,                0.98321,                0.90841,                0.62028,                0.87066,                0.70842,                 0.8199,                 1.3313,                 1.6336,             0.00018603,             0.00018603,             0.00018603
                     15,                0.40789,                 1.0286,                 0.9888,                0.76313,                0.70366,                0.83542,                0.66262,                0.89571,                 1.4626,                 1.7684,             0.00018119,             0.00018119,             0.00018119
                     16,                0.39226,                0.98339,                0.97682,                0.77022,                0.79618,                0.87615,                0.73745,                0.72067,                 1.0626,                 1.5603,             0.00017636,             0.00017636,             0.00017636
                     17,                0.38118,                0.95138,                0.97358,                0.84593,                0.69646,                0.88124,                0.67453,                0.88871,                 1.2991,                 1.9007,             0.00017153,             0.00017153,             0.00017153
                     18,                0.37461,                0.91016,                0.97173,                0.75651,                0.77884,                0.89281,                0.68823,                0.90345,                 1.3834,                 1.7349,              0.0001667,              0.0001667,              0.0001667
                     19,                0.36803,                0.85556,                0.97168,                0.67988,                 0.8345,                0.90356,                0.74082,                0.77762,                 1.0506,                 1.6681,             0.00016187,             0.00016187,             0.00016187
